Title,Abstract,StoreId,pubdate,pubtitle,year,startPage
"[euro]15,000 for cyclist for assault by coach driver","He said [William Murray] started shouting at him, complaining that he had interfered with his ability to do his work. Following an exchange of words, Murray shoved his chest up against his. Mr [Scott Alexander Burns] went around to the front of the coach and photographed its registration on his mobile phone before taking a photograph of Murray. Judge Jacqueline Linnane rejected legal submissions by solicitor Ger O'Herlihy for Bus Eireann that the company was not liable for an action by an employee on a public footpath which was not associated with his duties as a driver.",918697672,"Jan 31, 2012",Irish Times,2012, 4
A coupling of bicycles,"Sir, - Twice in half an hour Frank McNally (An Irishman's Diary, February 3rd) found his bicycle coupling with another bike - and he blamed the absent cyclists!",919712610,"Feb 4, 2012",Irish Times,2012, 15
Schoolboy died after fall from bicycle,"Julie Cooper, who has a holiday home in Allihies, found [Roan Harrington] lying ""entangled in a bike"" on the road.",922429243,"Feb 22, 2012",Irish Times,2012, 2
&#39;Thirst for vengeance&#39; pushed man to drive his car over cyclist,"Garda Danielle Farragher told Elva Duffy, prosecuting, Mr [Alan Culligan] was cycling on Moreen Avenue in Sandyford when he saw [Noel McGrath] drive into the estate in his silver Renault Laguna. McGrath's then girlfriend was in the passenger seat. ""It was like tunnel vision. I just thought, 'I'll get him',"" McGrath told gardai, before claiming he did not intentionally run over the victim and had only meant to nudge him off his bike. ""I wanted to show him he could not f**k with me,"" McGrath said in interview. Judge Martin Nolan suspended the final three years of the sentence, taking into account McGrath's previous good record and co-operation with gardai. He said the victim's injuries were ""entirely foreseeable"". McGrath could have left him with more serious injuries or have killed him.",932562504,"Mar 23, 2012",Irish Times,2012, 4
Dublin cycling officer loses job after funding cut,"He said there were ""more trips made every day in Dublin by bicycle than Luas"" and it was ""really important that we have a cycling officer"" who could challenge the mindset of roads engineers. ""When we've got someone of that ability, we can't afford to lose him."" Axing his post was ""an appalling decision, at a time when we need to 'up our game' in light of the National Cycle Policy Framework of having 10 per cent of commuting journeys nationally done by bike by 2020"", said Dr Mike McKillen, chairman of the Cyclist.ie lobby group. ""We should be overseeing the creating of cycling officers in each local authority to meet this target. All successful bike-friendly cities of Europe spend many millions more than Dublin in bike promotion and facilitation. Staff complement is a necessary part of this spend.""",911447802,"Dec 17, 2011",Irish Times,2011, 3
Time to back-pedal on cycling officer,"It's clear (and it's in the Government's own Cycle Policy Framework) that there should be not only a Dublin cycling officer, but a cycling tsar or team at government level, and one in every local authority. Departments of Health and Children, Transport, Tourism and Sport, and Environment all bear responsibility here. Yes, budgets are tight, but with a 20 to 1 return on investment in cycling (the huge health benefits to the population allow immense savings), it's crazy to penny-pinch one key professional's salary.",912039267,"Dec 21, 2011",Irish Times,2011, 15
Cycling officer gets jobs reprieve,There was consternation among the capital's cycling community when it emerged at the weekend that Ciaran Fallon was set to lose his job before Christmas because Dublin...,912216812,"Dec 22, 2011",Irish Times,2011, 6
Service for boy killed after fall from bicycle,"Principal at Cahermore National School, Padraig O'Sullivan, said [Roan Harrington] was due to start second class this week.",885668909,"Aug 30, 2011",Irish Times,2011, 2
The bicycle thieves move up a gear,"""If most people bought something for [euro]1,000 they wouldn't dream of leaving it unlocked or out of their sight. But with a bike, they're almost disposable to some people."" He strongly warns against choosing a cheap lock, saying that most cable-style locks can be relatively easily snipped with bolt cutters, while cheaper models will pop open when a thief pulls a bike hard against them. ""We know some teenagers or young men are walking around the city and looking at parked bikes, to see how expensive they look and how they are locked up. If it's a cheap lock, a good hard pull might pop it open. We've actually seen cases so opportunist that two young lads on bikes will stop at other chained-up bikes, and if one of them manages to rob a better bike than the one he is already on, he'll leave his own bike at the scene and go off on the stolen one."" While a small number of bike shops will take bikes for resale suspecting they have been stolen, Sgt [Dermot Harrington] says a lot of stolen bikes are sold on the streets in cash transactions. ""A guy could sell a [euro]600 or [euro]700 stolen new bike for [euro]50.""",888209210,"Sep 10, 2011",Irish Times,2011, 5
iPhone attracts application of new breed of bicycle thieves,"The popularity and healthy resale value of the iPhone has made life easier for Dublin's bicycle bandits, CONOR LALLY Crime Correspondent IT'S A crime that's almost glorious in its simplicity. A teenager cycling around the pedestrian-busy streets in the business centres of Dublins IFSC, Docklands or south inner city, arouses little suspicion as he winds his way from street to street. As he comes level at high speed, he takes one hand off his handlebars, reaches for the target's hand pressing the phone to her ear and he snatches it from her. In the couple of moments it takes the victim to work out where her phone and conversation have disappeared to, he's off down the road.",888575152,"Sep 13, 2011",Irish Times,2011, 5
